,Train,Valid
0,0.08695682252077463,0.013251956275385505
1,0.019117313119875332,0.0028448077565711902
2,0.011031186900902868,0.0009583794368450871
3,0.007399888041339238,0.0004627097232441546
4,0.004730480781469799,0.0007670473555976467
5,0.003686812337490671,9.814354557805765e-05
6,0.003243566784130428,0.00046021625769698674
7,0.002527985868453115,2.037044872732503e-05
8,0.0019660031111443303,3.07977682247987e-05
9,0.0018234747714200711,0.00013757999249964603
10,0.0017384404152533711,0.0002531536757507969
11,0.0012410841707422213,7.59895836778507e-06
12,0.0014154616189463586,5.586556521724077e-05
13,0.0011096056510814035,1.7740737418474197e-05
14,0.0011992918202948716,3.887699084942299e-06
15,0.0009164301622199628,1.1771029562615818e-06
16,0.000936027503746867,1.1411798125325544e-05
17,0.0008323232752932841,3.872862829426019e-06
18,0.0009488661699058077,3.1521553864699854e-06
19,0.0008473563176768407,1.536143509729582e-05
