,accuracy,precision,recall,f-score,auc
0,0.9619,0.9619028539940424,0.9619,0.9618999411470723,0.9619
1,0.9924285714285714,0.9924286039891568,0.9924285714285714,0.9924285713034111,0.9924285714285713
2,0.9958214285714285,0.9958214335296429,0.9958214285714285,0.9958214285609821,0.9958214285714285
3,0.9973642857142857,0.997364286627812,0.9973642857142857,0.9973642857130754,0.9973642857142858
4,0.9979285714285714,0.9979285913457151,0.9979285714285714,0.9979285714078572,0.9979285714285713
5,0.9987785714285714,0.9987785837453487,0.9987785714285715,0.9987785714210309,0.9987785714285715
6,0.9990142857142857,0.9990142873437202,0.9990142857142856,0.9990142857134812,0.9990142857142856
7,0.9992142857142857,0.9992142857142857,0.9992142857142857,0.9992142857142857,0.9992142857142857
8,0.9994,0.9994000004076735,0.9994000000000001,0.9993999999998775,0.9994000000000001
9,0.9994714285714286,0.9994714289791604,0.9994714285714286,0.9994714285713207,0.9994714285714286
10,0.9995428571428572,0.9995428575506472,0.9995428571428571,0.9995428571427638,0.9995428571428572
11,0.9996642857142857,0.9996642866320364,0.9996642857142857,0.9996642857141316,0.9996642857142858
12,0.9995785714285714,0.9995785715305262,0.9995785714285714,0.9995785714285499,0.9995785714285714
13,0.9995142857142857,0.9995142873453529,0.9995142857142858,0.9995142857138892,0.9995142857142857
14,0.9997285714285714,0.9997285718365132,0.9997285714285714,0.999728571428516,0.9997285714285713
15,0.99965,0.9996500082595206,0.9996499999999999,0.9996499999985535,0.99965
16,0.9997857142857143,0.9997857142857143,0.9997857142857143,0.9997857142857143,0.9997857142857143
17,0.9997785714285714,0.999778572346532,0.9997785714285714,0.9997785714284697,0.9997785714285715
18,0.9997642857142857,0.9997642866322201,0.9997642857142857,0.9997642857141774,0.9997642857142855
19,0.9997642857142857,0.9997642858162784,0.9997642857142857,0.9997642857142737,0.9997642857142857
