,accuracy,precision,recall,f-score,auc
0,0.9756928571428571,0.9756928595698615,0.9756928571428571,0.975692857111853,0.9756928571428571
1,0.9957214285714285,0.9957214311006195,0.9957214285714286,0.9957214285659712,0.9957214285714285
2,0.9979142857142858,0.9979142893724315,0.9979142857142858,0.9979142857104548,0.9979142857142856
3,0.9986785714285714,0.9986785764153572,0.9986785714285714,0.9986785714252678,0.9986785714285714
4,0.9990714285714286,0.99907143875656,0.9990714285714286,0.999071428566691,0.9990714285714285
5,0.9992357142857143,0.9992357168328353,0.9992357142857142,0.9992357142847395,0.9992357142857142
6,0.9994,0.999400010191837,0.9994000000000001,0.9993999999969388,0.9994
7,0.9993642857142857,0.9993642858161969,0.9993642857142857,0.9993642857142532,0.9993642857142857
8,0.9995928571428572,0.9995928621387857,0.9995928571428572,0.9995928571418393,0.9995928571428573
9,0.9995785714285714,0.9995785739774417,0.9995785714285714,0.9995785714280339,0.9995785714285715
10,0.99955,0.999550000101949,0.9995499999999999,0.9995499999999771,0.9995499999999999
11,0.9995428571428572,0.9995428571428572,0.9995428571428572,0.9995428571428572,0.9995428571428572
12,0.9996214285714285,0.9996214286733921,0.9996214285714285,0.9996214285714091,0.9996214285714285
13,0.9996642857142857,0.9996642882635933,0.9996642857142857,0.9996642857138576,0.9996642857142858
14,0.9997357142857143,0.9997357152035962,0.9997357142857143,0.9997357142855929,0.9997357142857142
15,0.9997214285714285,0.9997214311210276,0.9997214285714286,0.9997214285710732,0.9997214285714285
16,0.9998071428571429,0.9998071429591443,0.9998071428571429,0.999807142857133,0.999807142857143
17,0.9997214285714285,0.9997214335686428,0.9997214285714285,0.9997214285707321,0.9997214285714285
18,0.9997214285714285,0.9997214286734126,0.9997214285714285,0.9997214285714144,0.9997214285714285
19,0.9998071428571429,0.999807143775156,0.9998071428571429,0.9998071428570543,0.9998071428571429
