,Train,Valid
0,0.06295774903791844,0.0022525715461417274
1,0.012410120918478623,0.0002906832136588105
2,0.006220779913565981,0.0001807120166753689
3,0.003951211324484595,0.0008156452447427221
4,0.0027416308501763925,0.0004342077488124654
5,0.0024748215527670503,1.5142735405430491e-05
6,0.0019168411925132459,3.244555639627716e-06
7,0.0019055330071356704,7.934786558075538e-05
8,0.0013720023018747986,2.199505299152214e-06
9,0.0012066872862119445,5.9980818989537475e-05
10,0.0012476634720684071,6.934334168907428e-05
11,0.0012470913881452328,3.916873427011486e-05
12,0.0010898859089489563,2.409002876037343e-07
13,0.0009602354672063253,2.4570052369072275e-05
14,0.0009836424647216163,2.0635114856113737e-05
15,0.0007838028538683137,0.00015766818498363886
16,0.0006650271284436864,1.6074169982664367e-05
17,0.0007999676709875291,3.083120925205274e-05
18,0.000745783431113477,3.3840815102014924e-05
19,0.0006559013447521602,2.310797266287004e-05
