,accuracy,precision,recall,f-score,auc
0,0.9762285714285714,0.9762302648645174,0.9762285714285714,0.9762285502962377,0.9762285714285714
1,0.9963785714285714,0.9963785796340132,0.9963785714285714,0.9963785714136053,0.9963785714285714
2,0.9980857142857142,0.9980857179451196,0.9980857142857142,0.9980857142821982,0.9980857142857142
3,0.9987785714285714,0.9987785837453487,0.9987785714285715,0.9987785714210309,0.9987785714285715
4,0.9989857142857143,0.9989857179517319,0.9989857142857143,0.9989857142838514,0.9989857142857143
5,0.9992642857142857,0.9992642939674301,0.9992642857142857,0.9992642857112453,0.9992642857142856
6,0.9992642857142857,0.9992642907069287,0.9992642857142857,0.9992642857124465,0.9992642857142857
7,0.9994428571428572,0.999442858773691,0.9994428571428571,0.9994428571424023,0.9994428571428572
8,0.99945,0.9994500001019286,0.99945,0.999449999999972,0.9994500000000001
9,0.9995285714285714,0.9995285816230324,0.9995285714285714,0.9995285714261661,0.9995285714285714
10,0.9994857142857143,0.9994857146934577,0.9994857142857143,0.9994857142856093,0.9994857142857143
11,0.9995857142857143,0.9995857244813413,0.9995857142857143,0.9995857142836005,0.9995857142857143
12,0.9996428571428572,0.9996428608137027,0.9996428571428572,0.9996428571422012,0.9996428571428572
13,0.9995857142857143,0.9995857142857143,0.9995857142857143,0.9995857142857143,0.9995857142857143
14,0.9996642857142857,0.9996642858162581,0.9996642857142857,0.9996642857142686,0.9996642857142858
15,0.9996857142857143,0.9996857142857143,0.9996857142857143,0.9996857142857143,0.9996857142857143
16,0.9997071428571429,0.9997071437749723,0.9997071428571429,0.9997071428570083,0.9997071428571428
17,0.9997357142857143,0.9997357225466517,0.9997357142857143,0.999735714284622,0.9997357142857143
18,0.9997357142857143,0.9997357143877011,0.9997357142857143,0.9997357142857008,0.9997357142857142
19,0.99975,0.9997500001019898,0.99975,0.9997499999999873,0.9997499999999999
