,Train,Valid
0,0.06208630056952149,0.004787407901640457
1,0.01041438735283376,0.0002425855774546767
2,0.005735950928344151,4.044334695566677e-05
3,0.0037682335215366717,0.00010052632601785557
4,0.0031239218068987258,1.1378545889469707e-05
5,0.0022618929524068658,0.00019502864175317776
6,0.002254152567075212,1.9466962468099295e-05
7,0.0017009630691406353,0.00019960689093944967
8,0.0017392162413631582,2.326163312326558e-05
9,0.0016370723601461612,1.5035832245830418e-05
10,0.0013670742362251315,1.0441828542364653e-06
11,0.0010989856479329942,6.260783919952592e-06
12,0.0012956227154107432,4.7181081048737626e-07
13,0.0012680852603201246,6.594334689117196e-05
14,0.000966130531675766,8.720047159947274e-07
15,0.0009028040728040015,3.443494054722258e-06
16,0.0008942989832308555,6.145313624249041e-06
17,0.0008768192073505501,8.189251343792014e-06
18,0.000834999701079582,7.335744992029239e-07
19,0.000629386215961477,5.721660576795671e-07
