,Train,Valid
0,0.09242220765825085,0.013365077876794869
1,0.02264277317882422,0.0027188991653426713
2,0.012299358941655002,0.0010235371852331016
3,0.00780143935917301,0.0005408873375743563
4,0.005532227937024958,0.00015104383569301954
5,0.0037710452272870475,7.795405476451071e-05
6,0.002542182312416437,2.6734160141309474e-06
7,0.0023533831368427196,3.190540926468868e-06
8,0.002093509966540509,1.3331333434963691e-05
9,0.0017725699732821162,2.7886108086524327e-06
10,0.0013442752563091512,3.86192618100161e-05
11,0.001237590565144132,1.0437573096477546e-08
12,0.0013712577218520736,1.527467101352419e-07
13,0.001183782128641514,5.285193632695708e-05
14,0.0010021169684367955,1.1549144221873292e-05
15,0.0012260029842718356,7.72211023369944e-06
16,0.0007135506597835401,1.2119835488850806e-05
17,0.0008000894071030172,1.4265970387653388e-06
18,0.0007653839317319855,2.1129742868737384e-05
19,0.0007618246225589138,5.122190748388999e-07
