,accuracy,precision,recall,f-score,auc
0,0.928075,0.9280773640572431,0.928075,0.9280749006984098,0.9280749999999999
1,0.983875,0.9838801109836723,0.983875,0.9838749574198093,0.983875
2,0.98955,0.9895519582078328,0.98955,0.9895499895499895,0.9895500000000002
3,0.991725,0.991725768321513,0.991725,0.9917249967675769,0.991725
4,0.99345,0.9934507105690231,0.9934499999999999,0.9934499976419991,0.9934499999999999
5,0.9944,0.9944003164162025,0.9944,0.9943999991039998,0.9944000000000001
6,0.994075,0.9940752087467757,0.994075,0.9940749993741718,0.9940749999999999
7,0.995675,0.995675209422776,0.995675,0.9956749995431718,0.995675
8,0.996225,0.99622506078757,0.9962249999999999,0.9962249998843906,0.9962249999999999
9,0.996025,0.996025209570651,0.9960249999999999,0.9960249995801406,0.996025
10,0.996375,0.9963751005159578,0.996375,0.9963749998164844,0.996375
11,0.997475,0.9974750310921894,0.997475,0.9974749999605469,0.997475
12,0.997675,0.997675100779208,0.997675,0.9976749998822969,0.997675
13,0.9979,0.997900044811004,0.9979,0.99789999995275,0.9978999999999999
14,0.99775,0.9977501791900645,0.9977499999999999,0.9977499997975,0.9977499999999999
15,0.99825,0.99825,0.99825,0.99825,0.9982500000000001
16,0.99825,0.9982500199300008,0.99825,0.9982499999825001,0.99825
17,0.998025,0.9980250012450624,0.9980249999999999,0.9980249999987656,0.998025
18,0.9987,0.9987,0.9987,0.9987,0.9986999999999999
19,0.998775,0.9987750012469375,0.998775,0.9987749999992344,0.9987750000000001
20,0.99885,0.9988500448965041,0.99885,0.9988499999741249,0.99885
21,0.999,0.9990000049900001,0.999,0.9989999999975,0.999
22,0.998575,0.9985750112179377,0.998575,0.9985749999919844,0.998575
23,0.998675,0.998675100981708,0.998675,0.9986749999329219,0.9986750000000001
24,0.998825,0.9988250012470625,0.9988250000000001,0.9988249999992656,0.9988250000000001
25,0.998675,0.9986750012466875,0.998675,0.998674999999172,0.9986750000000001
26,0.999075,0.9990750012476874,0.9990749999999999,0.9990749999994218,0.9990749999999999
27,0.99905,0.9990500199620008,0.99905,0.9990499999905,0.9990499999999999
28,0.998975,0.9989750112269378,0.998975,0.9989749999942343,0.998975
29,0.999,0.9990000798400127,0.999,0.99899999996,0.999
30,0.998925,0.9989250311828144,0.9989250000000001,0.998924999983203,0.9989250000000001
31,0.998875,0.9988750012471875,0.998875,0.9988749999992969,0.998875
32,0.998975,0.9989750012474374,0.998975,0.9989749999993593,0.9989750000000001
33,0.99925,0.9992500049925,0.99925,0.999249999998125,0.9992499999999999
34,0.99945,0.9994500049945001,0.99945,0.999449999998625,0.9994500000000001
35,0.9991,0.9991000199640008,0.9991,0.999099999991,0.9991000000000001
36,0.999175,0.9991750012479375,0.9991749999999999,0.9991749999994843,0.999175
37,0.9994,0.9994000199760008,0.9994000000000001,0.999399999994,0.9994000000000001
38,0.999225,0.9992250112325627,0.999225,0.9992249999956406,0.9992249999999999
39,0.999425,0.9994250012485625,0.999425,0.9994249999996406,0.999425
40,0.999375,0.9993750012484375,0.9993749999999999,0.9993749999996093,0.999375
41,0.999475,0.9994750112381877,0.999475,0.9994749999970469,0.999475
42,0.999375,0.9993750112359377,0.9993749999999999,0.9993749999964844,0.999375
43,0.999525,0.9995250012488125,0.999525,0.9995249999997031,0.9995250000000001
44,0.999675,0.9996750012491875,0.9996750000000001,0.9996749999997969,0.999675
45,0.999275,0.9992750012481875,0.9992749999999999,0.9992749999995469,0.9992749999999999
46,0.999525,0.9995250112393128,0.999525,0.9995249999973281,0.999525
47,0.999525,0.9995250112393128,0.999525,0.9995249999973281,0.999525
48,0.999525,0.9995250112393128,0.999525,0.9995249999973281,0.999525
49,0.9996,0.9996,0.9996,0.9996,0.9996
