,accuracy,precision,recall,f-score,auc
0,0.9652,0.9652019143533471,0.9652000000000001,0.9651999641985753,0.9652
1,0.9932714285714286,0.9932716605097767,0.9932714285714286,0.993271427780478,0.9932714285714285
2,0.9962642857142857,0.9962642858155641,0.9962642857142857,0.9962642857140951,0.9962642857142858
3,0.99745,0.9974500293393997,0.99745,0.9974499999624005,0.9974500000000001
4,0.9983,0.9983000492198416,0.9983,0.9982999999580203,0.9982999999999999
5,0.9987285714285714,0.998728573057073,0.9987285714285714,0.9987285714275336,0.9987285714285714
6,0.9988785714285714,0.9988785739738704,0.9988785714285715,0.9988785714271411,0.9988785714285714
7,0.9992,0.9992000330083287,0.9992000000000001,0.9991999999867756,0.9992
8,0.9994071428571428,0.9994071478512143,0.9994071428571428,0.9994071428556607,0.9994071428571428
9,0.9993928571428572,0.99939285969078,0.9993928571428572,0.9993928571420827,0.9993928571428572
10,0.9994,0.9994000016306939,0.9994000000000001,0.9993999999995102,0.9994000000000001
11,0.9995214285714286,0.9995214311200074,0.9995214285714286,0.9995214285708183,0.9995214285714286
12,0.9995428571428572,0.9995428673376096,0.9995428571428571,0.9995428571405247,0.9995428571428572
13,0.99965,0.9996500025492348,0.9996499999999999,0.9996499999995536,0.99965
14,0.9996928571428572,0.9996928580606603,0.9996928571428572,0.999692857142716,0.999692857142857
15,0.9996928571428572,0.9996928572448354,0.9996928571428572,0.9996928571428415,0.9996928571428572
16,0.9997357142857143,0.9997357152035962,0.9997357142857143,0.9997357142855929,0.9997357142857142
17,0.9997142857142857,0.9997143003997672,0.9997142857142858,0.9997142857121866,0.9997142857142858
18,0.9997428571428572,0.9997428587746706,0.999742857142857,0.9997428571426472,0.999742857142857
19,0.9997785714285714,0.9997785739784621,0.9997785714285714,0.999778571428289,0.9997785714285714
